"Plot","AbvBioAnnProd.2015.2017","Root030cm.2015.2017","TotalProd.2015.2017"
2,95.56,312.96,408.52
3,94.39,304.16,398.55
5,72.01,995.27,1067.28
6,58.74,1022.1,1080.85
9,213.5,1318.25,1531.76
11,75.08,298.62,373.69
12,251.11,1343.39,1594.5
14,98.1,147.78,245.88
15,306.76,842.01,1148.77
16,41.58,226.49,268.08
20,294.41,785,1079.41
22,299.49,412.38,711.86
24,83.42,505.2,588.62
26,174.9,1008.41,1183.31
27,248.98,1180.07,1429.05
28,159.81,592.57,752.37
29,52.53,307.96,360.48
30,281.98,1367.14,1649.12
31,41.21,950.88,992.08
33,189.81,1121.05,1310.87
34,257.97,1100.83,1358.8
35,209.18,1158.44,1367.62
44,214.51,926.64,1141.16
45,189.05,1069.12,1258.17
46,326.02,1146.96,1472.97
48,147.82,432.97,580.79
50,172.92,619.62,792.54
53,133.67,577.62,711.29
56,162.46,1090.93,1253.4
57,303.71,1097.27,1400.98
58,148.11,705.72,853.83
62,156.87,522.73,679.6
67,340.9,1303.17,1644.07
68,321.18,926.7,1247.88
69,54.56,391.41,445.97
70,257.02,1264.04,1521.05
74,253.3,1005.7,1259.01
75,124.03,737.86,861.9
81,240.04,1004.29,1244.32
82,284.02,797.78,1081.79
83,86.73,251.99,338.72
87,56.93,333.27,390.2
89,315.49,1043.25,1358.74
92,99.94,643.99,743.93
93,285.88,1166.69,1452.57
94,110.87,354.87,465.74
98,212,1444.81,1656.82
104,232.8,1083,1315.8
107,272.53,1078.78,1351.32
108,402.23,1550.43,1952.66
109,64.68,674.69,739.38
110,256.84,1178.57,1435.42
111,339.88,627.38,967.26
115,139.54,875.05,1014.58
117,65.82,523.93,589.75
118,150.34,840.81,991.15
125,205.82,982.16,1187.98
129,165.02,1448.54,1613.56
130,244.33,1296.2,1540.54
133,219.65,950.97,1170.62
135,79.49,722.69,802.18
136,253.03,1211.66,1464.7
137,276.24,998.82,1275.05
138,166.39,700.4,866.79
139,269.62,1072.98,1342.61
142,74.97,334.82,409.79
146,297.78,1291.68,1589.46
149,322.86,1309.87,1632.72
156,238.81,1272.31,1511.12
157,63.22,281.5,344.72
160,297.06,1266.12,1563.18
163,86.18,537.29,623.47
164,248.01,1000.84,1248.85
165,121.41,801.02,922.43
167,142.21,722.82,865.02
168,142.68,976.22,1118.9
169,279.41,1427.59,1706.99
170,241.85,542.73,784.58
171,159.93,578.54,738.46
174,298.63,1072.19,1370.82
175,297.58,1258.45,1556.03
176,135.04,1026.75,1161.79
177,308.25,1221.64,1529.89
178,276.22,1086.12,1362.33
185,91.56,444.3,535.86
186,373.88,1610.87,1984.75
190,211.9,632.21,844.1
193,293.7,1372.37,1666.08
197,175.94,956.64,1132.58
199,254.14,1045.11,1299.25
201,278.34,878.16,1156.5
202,515.22,1466.25,1981.47
205,149.84,710.09,859.93
206,311.23,1141.94,1453.17
208,323.72,1183.13,1506.85
210,306.19,1060.89,1367.09
211,266.79,488.95,755.74
213,281.77,735.44,1017.21
220,249.52,992.61,1242.12
223,110.76,424.66,535.42
224,107.56,678.95,786.52
225,229.43,1193.71,1423.13
227,348.87,1212.17,1561.04
229,173.31,992.18,1165.49
230,91.65,634.81,726.46
232,339.2,1206.68,1545.88
233,343.24,1263.07,1606.31
234,235.4,893.72,1129.12
235,316.75,1314.87,1631.62
236,236.37,1032.28,1268.65
237,75.79,295.25,371.04
239,412.4,1509.45,1921.86
242,307.19,1190.09,1497.27
253,371.14,1147.27,1518.4
257,370.25,1107.44,1477.69
259,229.86,1172.19,1402.05
265,34.56,286.61,321.17
266,270.5,1162.87,1433.37
267,182.23,564.69,746.92
268,100.69,251.71,352.4
273,701.39,1714.08,2415.47
278,75.81,457.7,533.5
280,66.22,852.63,918.84
282,90.39,700.14,790.53
283,122.9,704.16,827.06
286,223.48,886.66,1110.13
287,108.47,626.46,734.93
290,108.36,238.51,346.86
291,120.65,324.6,445.25
292,317.82,1603.06,1920.88
293,313.68,1111.91,1425.59
299,328.6,1040.89,1369.49
300,265,1107.36,1372.36
301,273.38,1027.51,1300.89
302,248.08,561.37,809.45
303,325.51,919.24,1244.74
304,89.44,322.31,411.75
307,257.02,1121.45,1378.47
308,38.74,216.71,255.45
311,165.67,806.96,972.63
313,332.6,867.46,1200.06
318,324.02,944.18,1268.2
324,41.66,225.62,267.27
325,272.24,618.58,890.82
328,326.84,1255.11,1581.95
329,321.35,1131.84,1453.19
330,170.02,587.08,757.11
331,387.93,1291.47,1679.4
334,88.48,650.8,739.28
335,263.53,430.65,694.18
336,359.38,1224.67,1584.06
338,134.35,268.59,402.94
339,337.08,1207.41,1544.49
342,303.03,661.99,965.02
