"Plot","NumSp","Species","Grass","C3","C4","Forb","Legume","Fgset","Fgset2","FgNum_C3C4","FgNum_noC3","Achmi","AmoPet","Andge","Asctu","Koecr","Lesca","Liaas","Luppe","MonSol","Panvi","Petpu","Poapr","Schsc","Sornu","SR.of.C3.Grass.Species.Planted","SR.of.C4.Species.Planted","SR.of.forbs.planted","SR.of.Legumes.Planted","SR.of.Grass.Species.Planted"
2,1,"Lesca",0,0,0,0,1,"L","L",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,4,"Asctu Liaas Monfi Panvi Solri",1,0,1,1,0,"4F","GF",2,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,3,0,1
5,1,"Andge",1,0,1,0,0,"4","G",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,2,"Panvi Schsc",1,0,1,0,0,"4","G",1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2
9,16,"Achmi Agrsm Amoca Andge Asctu Elyca Lesca Liaas Luppe Monfi Panvi Petpu Poapr Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,4,4,5
11,1,"Achmi",0,0,0,1,0,"F","F",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,8,"Achmi Koecr Luppe Monfi Petca Petvi Poapr Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,0,0,1,0,0,1,1,0,0,1,1,1,2,2,2,2,4
14,2,"Asctu Liaas",0,0,0,1,0,"F","F",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
15,8,"Agrsm Elyca Monfi Petca Petpu Petvi Poapr Queel Quema Solri",1,1,0,1,1,"3FL","GFL",3,3,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,2,1
16,1,"Asctu",0,0,0,1,0,"F","F",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,1,"Amoca",0,0,0,0,1,"L","L",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,8,"Agrsm Asctu Elyca Koecr Liaas Monfi Petca Petvi Quema Solri",1,1,0,1,1,"3FL","GFL",3,3,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,3,1,1
24,4,"Asctu Elyca Panvi Schsc",1,1,1,1,0,"34F","GF",3,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,2
26,4,"Agrsm Elyca Petpu Sornu",1,1,1,0,1,"34L","GL",3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
27,16,"Achmi Agrsm Amoca Asctu Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5
28,4,"Lesca Petpu Queel Quema",0,0,0,0,1,"L","L",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
29,1,"Lesca",0,0,0,0,1,"L","L",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
