"nut","Plot","type","val","extract"
"Calcium",2,"gm2_1994_0.20cm",110.01,"aa"
"Calcium",3,"gm2_1994_0.20cm",128.35,"aa"
"Calcium",5,"gm2_1994_0.20cm",81.89,"aa"
"Calcium",6,"gm2_1994_0.20cm",91.39,"aa"
"Calcium",9,"gm2_1994_0.20cm",87.84,"aa"
"Calcium",11,"gm2_1994_0.20cm",117.18,"aa"
"Calcium",12,"gm2_1994_0.20cm",114.16,"aa"
"Calcium",14,"gm2_1994_0.20cm",87.21,"aa"
"Calcium",15,"gm2_1994_0.20cm",113.76,"aa"
"Calcium",16,"gm2_1994_0.20cm",107.08,"aa"
"Calcium",20,"gm2_1994_0.20cm",121.98,"aa"
"Calcium",22,"gm2_1994_0.20cm",115.22,"aa"
"Calcium",24,"gm2_1994_0.20cm",106.36,"aa"
"Calcium",26,"gm2_1994_0.20cm",116.82,"aa"
"Calcium",27,"gm2_1994_0.20cm",125.26,"aa"
"Calcium",28,"gm2_1994_0.20cm",111.65,"aa"
"Calcium",29,"gm2_1994_0.20cm",65.12,"aa"
"Calcium",30,"gm2_1994_0.20cm",80.55,"aa"
"Calcium",31,"gm2_1994_0.20cm",87.49,"aa"
"Calcium",33,"gm2_1994_0.20cm",70.95,"aa"
"Calcium",34,"gm2_1994_0.20cm",98.74,"aa"
"Calcium",35,"gm2_1994_0.20cm",97.09,"aa"
"Calcium",44,"gm2_1994_0.20cm",109.8,"aa"
"Calcium",45,"gm2_1994_0.20cm",70.67,"aa"
"Calcium",46,"gm2_1994_0.20cm",78.53,"aa"
"Calcium",48,"gm2_1994_0.20cm",73.29,"aa"
"Calcium",50,"gm2_1994_0.20cm",130.18,"aa"
"Calcium",53,"gm2_1994_0.20cm",113.42,"aa"
"Calcium",56,"gm2_1994_0.20cm",126.48,"aa"
"Calcium",57,"gm2_1994_0.20cm",104.8,"aa"
"Calcium",58,"gm2_1994_0.20cm",96.71,"aa"
"Calcium",62,"gm2_1994_0.20cm",105.73,"aa"
"Calcium",67,"gm2_1994_0.20cm",81.39,"aa"
"Calcium",68,"gm2_1994_0.20cm",87.02,"aa"
"Calcium",69,"gm2_1994_0.20cm",101.32,"aa"
"Calcium",70,"gm2_1994_0.20cm",79.14,"aa"
"Calcium",74,"gm2_1994_0.20cm",92.72,"aa"
"Calcium",75,"gm2_1994_0.20cm",99.5,"aa"
