"Plot","NumSp","Species","Fgset","Fgset2","soil_diffgm2_0.20cm_Calcium_aa","soil_diffgm2_0.20cm_Carbon_ea","soil_diffgm2_0.20cm_CEC_aa","soil_diffgm2_0.20cm_Magnesium_aa","soil_diffgm2_0.20cm_Nitrogen_ea","soil_diffgm2_0.20cm_pH_1:1w","soil_diffgm2_0.20cm_Phosphorus_bray","soil_diffgm2_0.20cm_Potassium_aa","gm2_1994_0.20cm_Calcium_aa","gm2_1994_0.20cm_Carbon_ea","gm2_1994_0.20cm_CEC_aa","gm2_1994_0.20cm_Magnesium_aa","gm2_1994_0.20cm_Nitrogen_ea","gm2_1994_0.20cm_pH_1:1w","gm2_1994_0.20cm_Phosphorus_bray","gm2_1994_0.20cm_Potassium_aa","gm2_2017_0.20cm_Calcium_aa","gm2_2017_0.20cm_Carbon_ea","gm2_2017_0.20cm_CEC_aa","gm2_2017_0.20cm_Magnesium_aa","gm2_2017_0.20cm_Nitrogen_ea","gm2_2017_0.20cm_pH_1:1w","gm2_2017_0.20cm_Phosphorus_bray","gm2_2017_0.20cm_Potassium_aa","AbvBioAnnProd.2015.2017","Root030cm.2015.2017","TotalProd.2015.2017","Nitrogen_gm2_Abv","Phosphorus_gm2_Abv","Potassium_gm2_Abv","Magnesium_gm2_Abv","Calcium_gm2_Abv","Nitrogen_gm2_Root.0.30cm","Phosphorus_gm2_Root.0.30cm","Potassium_gm2_Root.0.30cm","Magnesium_gm2_Root.0.30cm","Calcium_gm2_Root.0.30cm","Calcium_total.soil.plant.g.m2","Magnesium_total.soil.plant.g.m2","Nitrogen_total.soil.plant.g.m2","Phosphorus_total.soil.plant.g.m2","Potassium_total.soil.plant.g.m2"
2,1,"Lesca","L","L",-1.66,95.46,-0.08,-0.59,2.22,0.5,-1.78,-2.52,110.01,1021.2,2.51,19.37,100.64,5.5,12.14,9.18,108.34,1116.66,2.43,18.77,102.86,6,10.36,6.66,95.56,312.96,408.52,1.8,0.23,0.5,0.28,1.34,4.88,0.81,1.03,0.66,3.16,2.84,0.35,8.9,-0.74,-0.99
3,4,"Asctu Liaas Monfi Panvi Solri","4F","GF",-25.87,-446.76,-0.75,-8.72,-52.56,0.2,-2.34,-5.96,128.35,1299.4,3.14,28.62,125.56,5.8,13.43,12.67,102.48,852.64,2.39,19.9,73,6,11.1,6.71,94.39,304.16,398.55,0.84,0.09,1.04,0.42,1.26,1.95,0.46,1.52,0.76,2.65,-21.96,-7.54,-49.77,-1.79,-3.4
5,1,"Andge","4","G",26.76,325.54,0.67,8.47,15.79,0.9,0.55,-2.42,81.89,1096.62,1.75,8.64,108.78,5.1,12.35,9.97,108.65,1422.16,2.42,17.11,124.57,6,12.9,7.54,72.01,995.27,1067.28,0.71,0.17,0.58,0.15,0.55,4.78,1.29,1.69,1.39,4.68,31.99,10.01,21.28,2.01,-0.15
6,2,"Panvi Schsc","4","G",7.65,211.29,0.25,4.92,8.96,0.8,-3.56,-0.28,91.39,1077.44,1.9,9.32,109.52,5.2,11.84,7.31,99.04,1288.73,2.15,14.24,118.48,6,8.28,7.03,58.74,1022.1,1080.85,0.51,0.11,0.47,0.09,0.39,4.8,1.02,1.64,1.23,4.8,12.84,6.24,14.27,-2.43,1.83
9,16,"Achmi Agrsm Amoca Andge Asctu Elyca Lesca Liaas Luppe Monfi Panvi Petpu Poapr Quema Schsc Solri Sornu","34FL","GFL",55.34,632.09,1.33,11.7,37.91,1.2,-3.72,3.79,87.84,956.58,1.86,8.97,101.32,5,13.71,10.23,143.18,1588.67,3.19,20.67,139.23,6.2,9.99,14.02,213.5,1318.25,1531.76,2.16,0.38,2.03,0.38,2.07,7.51,1.32,3.43,1.58,8.57,65.98,13.66,47.58,-2.02,9.25
11,1,"Achmi","F","F",10.54,66.88,0.22,-0.56,-6.39,0.7,-1.7,2.67,117.18,1050.8,2.74,23.94,106.56,5.4,14.21,7.02,127.72,1117.68,2.96,23.39,100.17,6.1,12.5,9.69,75.08,298.62,373.69,0.87,0.19,0.78,0.2,0.53,2.63,0.69,1.43,0.57,2.18,13.25,0.21,-2.89,-0.82,4.88
12,8,"Achmi Koecr Luppe Monfi Petca Petvi Poapr Schsc Solri Sornu","34FL","GFL",39.34,741.32,0.92,5.73,48.66,0.9,0.28,5.59,114.16,1328.2,2.68,21.39,118.9,5.4,11.89,8.69,153.5,2069.52,3.6,27.12,167.56,6.3,12.17,14.27,251.11,1343.39,1594.5,2.41,0.43,2.91,0.53,2.16,1.07,1.88,4.3,2.42,12.9,54.4,8.68,52.14,2.59,12.8
14,2,"Asctu Liaas","F","F",18.44,-312.48,0.27,1.42,-38.16,0.8,-2.3,-8.49,87.21,1428.48,2.18,17.16,135.36,5.2,17.57,15.82,105.65,1116,2.45,18.58,97.2,6,15.26,7.32,98.1,147.78,245.88,1,0.13,1.04,0.44,1.42,1.43,0.31,0.71,0.41,1.58,21.44,2.27,-35.73,-1.86,-6.74
15,8,"Agrsm Elyca Monfi Petca Petpu Petvi Poapr Queel Quema Solri","3FL","GFL",24.89,250.59,0.63,6.67,2.89,0.8,-2.64,1.4,113.76,1249.76,2.61,19.68,125.56,5.5,12.26,9.02,138.65,1500.35,3.24,26.34,128.45,6.3,9.63,10.42,306.76,842.01,1148.77,2.58,0.55,4.75,1.01,4.11,7.66,1.6,4.97,1.6,14.65,43.65,9.28,13.13,-0.49,11.12
16,1,"Asctu","F","F",-4.55,-538.56,-0.3,-5.01,-56.16,0.8,-4.61,-8.2,107.08,1494.72,2.68,23.53,146.88,5.4,16.7,13.51,102.53,956.16,2.38,18.52,90.72,6.2,12.1,5.31,41.58,226.49,268.08,0.63,0.13,0.39,0.15,0.38,2.4,0.61,1.49,0.41,3.24,-0.93,-4.45,-53.13,-3.87,-6.32
