"Species","func","Calcium","Magnesium","Nitrogen","Phosphorus","Potassium","RootBiomass"
"Achmi","F",1.21,0.23,0.91,0.31,2.13,178.37
"Amoca","L",1.31,0.15,1.5,0.19,0.93,459.07
"Andge","C4",0.63,0.18,0.71,0.23,0.96,529.6
"Asctu","F",1.73,0.3,1.49,0.3,1.72,174.61
"Koecr","C3",0.46,0.17,0.85,0.18,0.94,344.91
"Lesca","L",1.31,0.26,1.58,0.19,0.68,248.89
"Liaas","F",1.24,0.4,0.66,0.1,1.31,490.36
"Luppe","L",1.74,0.36,1.88,0.2,0.97,389.8
"Monfi","F",1.64,0.31,0.89,0.15,1.58,256.03
"Panvi","C4",0.47,0.19,0.6,0.19,0.72,629.95
"Petpu","L",1.5,0.25,1.51,0.2,0.86,329.33
"Poapr","C3",0.44,0.18,0.61,0.16,0.99,264.78
"Schsc","C4",0.52,0.17,0.71,0.2,1.05,670.49
"Solri","F",1.45,0.33,0.67,0.18,1.99,256.03
"Sornu","C4",0.63,0.18,0.7,0.18,0.97,526.45
