"Plot","NumSp","Depth","Year","nut","val","unit"
2,1,"0.20cm","1994","Phosphorus",41,"mgX.kgSoil"
2,1,"0.20cm","1994","Calcium",371.64,"mgX.kgSoil"
2,1,"0.20cm","1994","Potassium",31.02,"mgX.kgSoil"
2,1,"0.20cm","1994","Magnesium",65.43,"mgX.kgSoil"
2,1,"0.20cm","1994","CEC",2.51,"meq.100gSoil"
2,1,"0.20cm","1994","Organic.Matter",8000,"mgX.kgSoil"
2,1,"0.20cm","1994","pH",5.5,"log.H"
2,1,"0.20cm","1994","Nitrogen",340,"mgX.kgSoil"
2,1,"0.20cm","1994","Carbon",3450,"mgX.kgSoil"
2,1,"0.20cm","2017","Phosphorus",35,"mgX.kgSoil"
2,1,"0.20cm","2017","Calcium",366.02,"mgX.kgSoil"
2,1,"0.20cm","2017","Potassium",22.49,"mgX.kgSoil"
2,1,"0.20cm","2017","Magnesium",63.42,"mgX.kgSoil"
2,1,"0.20cm","2017","CEC",2.43,"meq.100gSoil"
2,1,"0.20cm","2017","pH",6,"log.H"
2,1,"0.20cm","2017","Nitrogen",347.5,"mgX.kgSoil"
2,1,"0.20cm","2017","Carbon",3772.5,"mgX.kgSoil"
2,1,"20.40cm","2017","Phosphorus",26,"mgX.kgSoil"
2,1,"20.40cm","2017","Calcium",310.42,"mgX.kgSoil"
2,1,"20.40cm","2017","Potassium",16.9,"mgX.kgSoil"
2,1,"20.40cm","2017","Magnesium",60.1,"mgX.kgSoil"
2,1,"20.40cm","2017","CEC",2.11,"meq.100gSoil"
2,1,"20.40cm","2017","pH",5.6,"log.H"
2,1,"20.40cm","2017","Nitrogen",252.5,"mgX.kgSoil"
2,1,"20.40cm","2017","Carbon",2745,"mgX.kgSoil"
3,4,"0.20cm","1994","Phosphorus",46,"mgX.kgSoil"
3,4,"0.20cm","1994","Calcium",439.56,"mgX.kgSoil"
3,4,"0.20cm","1994","Potassium",43.39,"mgX.kgSoil"
3,4,"0.20cm","1994","Magnesium",98,"mgX.kgSoil"
3,4,"0.20cm","1994","CEC",3.14,"meq.100gSoil"
3,4,"0.20cm","1994","Organic.Matter",9000,"mgX.kgSoil"
3,4,"0.20cm","1994","pH",5.8,"log.H"
3,4,"0.20cm","1994","Nitrogen",430,"mgX.kgSoil"
3,4,"0.20cm","1994","Carbon",4450,"mgX.kgSoil"
3,4,"0.20cm","2017","Phosphorus",38,"mgX.kgSoil"
3,4,"0.20cm","2017","Calcium",350.96,"mgX.kgSoil"
3,4,"0.20cm","2017","Potassium",22.98,"mgX.kgSoil"
3,4,"0.20cm","2017","Magnesium",68.14,"mgX.kgSoil"
3,4,"0.20cm","2017","CEC",2.39,"meq.100gSoil"
3,4,"0.20cm","2017","pH",6,"log.H"
3,4,"0.20cm","2017","Nitrogen",250,"mgX.kgSoil"
3,4,"0.20cm","2017","Carbon",2920,"mgX.kgSoil"
3,4,"20.40cm","2017","Phosphorus",21,"mgX.kgSoil"
3,4,"20.40cm","2017","Calcium",287.69,"mgX.kgSoil"
3,4,"20.40cm","2017","Potassium",17.59,"mgX.kgSoil"
3,4,"20.40cm","2017","Magnesium",53.62,"mgX.kgSoil"
3,4,"20.40cm","2017","CEC",1.95,"meq.100gSoil"
3,4,"20.40cm","2017","pH",5.7,"log.H"
3,4,"20.40cm","2017","Nitrogen",275,"mgX.kgSoil"
3,4,"20.40cm","2017","Carbon",2890,"mgX.kgSoil"
5,1,"0.20cm","1994","Phosphorus",42,"mgX.kgSoil"
5,1,"0.20cm","1994","Calcium",278.53,"mgX.kgSoil"
5,1,"0.20cm","1994","Potassium",33.9,"mgX.kgSoil"
5,1,"0.20cm","1994","Magnesium",29.38,"mgX.kgSoil"
5,1,"0.20cm","1994","CEC",1.75,"meq.100gSoil"
5,1,"0.20cm","1994","Organic.Matter",7000,"mgX.kgSoil"
5,1,"0.20cm","1994","pH",5.1,"log.H"
5,1,"0.20cm","1994","Nitrogen",370,"mgX.kgSoil"
5,1,"0.20cm","1994","Carbon",3730,"mgX.kgSoil"
5,1,"0.20cm","2017","Phosphorus",44,"mgX.kgSoil"
5,1,"0.20cm","2017","Calcium",369.54,"mgX.kgSoil"
5,1,"0.20cm","2017","Potassium",25.71,"mgX.kgSoil"
5,1,"0.20cm","2017","Magnesium",58.34,"mgX.kgSoil"
