"Nutrient","Plot","NumSp","unit","0.20cm_1994","0.20cm_2017","20.40cm_2017","Bulk.Density.g.cm3_0.20cm_1994","Bulk.Density.g.cm3_0.20cm_2017","Bulk.Density.g.cm3_20.40cm_2017","bd.pred","Depth_add_cm","gm2_1994_0.20cm","gm2_2017_u","gm2_2017_add","gm2_2017_0.20cm"
"Calcium",2,1,"mgX.kgSoil",371.64,366.02,310.42,1.48,1.49,1.62,"measured",-0.134228187919463,110.00544,109.07396,-0.73204,108.34192
"Calcium",3,4,"mgX.kgSoil",439.56,350.96,287.69,1.46,1.47,1.6,"measured",-0.136054421768707,128.35152,103.18224,-0.70192,102.48032
"Calcium",5,1,"mgX.kgSoil",278.53,369.54,369.68,1.47,1.46,1.61,"measured",0.124223602484472,81.88782,107.90568,0.73936,108.64504
"Calcium",6,2,"mgX.kgSoil",308.75,334.42,347.88,1.48,1.46,1.69,"predicted",0.236686390532544,91.39,97.65064,1.39152,99.04216
"Calcium",9,16,"mgX.kgSoil",294.77,492.23,317.11,1.49,1.39,1.52,"measured",1.31578947368421,87.84146,136.83994,6.3422,143.18214
"Calcium",11,1,"mgX.kgSoil",395.87,439.12,358.26,1.48,1.34,1.57,"measured",1.78343949044586,117.17752,117.68416,10.03128,127.71544
"Calcium",12,8,"mgX.kgSoil",393.67,537.15,347.86,1.45,1.39,1.57,"measured",0.764331210191083,114.1643,149.3277,4.17432,153.50202
"Calcium",14,2,"mgX.kgSoil",302.8,366.83,360.97,1.44,1.44,1.62,"measured",0,87.2064,105.64704,0,105.64704
"Calcium",15,8,"mgX.kgSoil",389.6,477.11,311.66,1.46,1.44,1.68,"predicted",0.238095238095238,113.7632,137.40768,1.24664,138.65432
"Calcium",16,1,"mgX.kgSoil",371.8,356,317.97,1.44,1.56,1.74,"measured",-1.53846153846154,107.0784,111.072,-8.544,102.528
"Calcium",20,1,"mgX.kgSoil",412.09,384.49,315.75,1.48,1.39,1.72,"measured",1.04651162790698,121.97864,106.88822,5.6835,112.57172
"Calcium",22,8,"mgX.kgSoil",386.65,410.78,294.91,1.49,1.48,1.71,"predicted",0.116959064327485,115.2217,121.59088,0.58982,122.1807
"Calcium",24,4,"mgX.kgSoil",359.32,404.43,377.73,1.48,1.47,1.72,"measured",0.116279069767442,106.35872,118.90242,0.75546,119.65788
"Calcium",26,4,"mgX.kgSoil",402.82,448.53,338.79,1.45,1.4,1.64,"predicted",0.609756097560976,116.8178,125.5884,3.3879,128.9763
"Calcium",27,16,"mgX.kgSoil",441.06,568.84,385.7,1.42,1.35,1.64,"measured",0.853658536585366,125.26104,153.5868,5.3998,158.9866
"Calcium",28,4,"mgX.kgSoil",379.76,426.77,296.29,1.47,1.43,1.67,"predicted",0.479041916167665,111.64944,122.05622,2.37032,124.42654
"Calcium",29,1,"mgX.kgSoil",223,334.23,330.15,1.46,1.45,1.69,"predicted",0.118343195266272,65.116,96.9267,0.6603,97.587
"Calcium",30,16,"mgX.kgSoil",273.98,516.07,352.37,1.47,1.4,1.64,"predicted",0.853658536585366,80.55012,144.4996,4.93318,149.43278
"Calcium",31,1,"mgX.kgSoil",289.69,309.09,331.18,1.51,1.42,1.7,"measured",1.05882352941176,87.48638,87.78156,5.96124,93.7428
"Calcium",33,4,"mgX.kgSoil",241.33,372.2,326.48,1.47,1.44,1.68,"predicted",0.357142857142857,70.95102,107.1936,1.95888,109.15248
"Calcium",34,16,"mgX.kgSoil",335.86,485.44,316.9,1.47,1.39,1.64,"predicted",0.975609756097561,98.74284,134.95232,5.0704,140.02272
"Calcium",35,16,"mgX.kgSoil",332.5,583.48,313.38,1.46,1.46,1.71,"measured",0,97.09,170.37616,0,170.37616
"Calcium",44,4,"mgX.kgSoil",376.04,431.45,352.28,1.46,1.47,1.78,"measured",-0.136054421768707,109.80368,126.8463,-0.8629,125.9834
"Calcium",45,4,"mgX.kgSoil",235.58,381.9,336.78,1.5,1.45,1.69,"predicted",0.591715976331361,70.674,110.751,3.3678,114.1188
"Calcium",46,16,"mgX.kgSoil",267.11,494.54,353.37,1.47,1.42,1.66,"predicted",0.602409638554217,78.53034,140.44936,3.5337,143.98306
"Calcium",48,2,"mgX.kgSoil",247.59,366.75,260.22,1.48,1.48,1.74,"measured",0,73.28664,108.558,0,108.558
"Calcium",50,8,"mgX.kgSoil",436.85,477.46,284.28,1.49,1.28,1.68,"measured",2.5,130.1813,122.22976,11.93976,134.16952
"Calcium",53,4,"mgX.kgSoil",383.17,439.12,381.72,1.48,1.44,1.68,"predicted",0.476190476190476,113.41832,126.46656,3.05376,129.52032
"Calcium",56,2,"mgX.kgSoil",427.31,507.49,350.08,1.48,1.4,1.6,"measured",1,126.48376,142.0972,5.60128,147.69848
"Calcium",57,8,"mgX.kgSoil",356.45,446.5,290.31,1.47,1.44,1.68,"predicted",0.357142857142857,104.7963,128.592,1.74186,130.33386
"Calcium",58,4,"mgX.kgSoil",322.36,354.94,294.64,1.5,1.44,1.71,"measured",0.701754385964912,96.708,102.22272,3.53568,105.7584
"Calcium",62,4,"mgX.kgSoil",354.8,458.88,335.03,1.49,1.46,1.69,"predicted",0.355029585798817,105.7304,133.99296,2.01018,136.00314
"Calcium",67,8,"mgX.kgSoil",274.97,516.17,292.57,1.48,1.41,1.65,"predicted",0.848484848484849,81.39112,145.55994,4.09598,149.65592
"Calcium",68,16,"mgX.kgSoil",295.98,455.03,319.55,1.47,1.39,1.64,"predicted",0.975609756097561,87.01812,126.49834,5.1128,131.61114
"Calcium",69,1,"mgX.kgSoil",342.31,330.69,344.94,1.48,1.51,1.62,"measured",-0.397350993377483,101.32376,99.86838,-1.98414,97.88424
"Calcium",70,4,"mgX.kgSoil",269.19,549.31,369.61,1.47,1.37,1.53,"measured",1.30718954248366,79.14186,150.51094,7.3922,157.90314
"Calcium",74,8,"mgX.kgSoil",317.55,456.1,296.54,1.46,1.39,1.64,"predicted",0.853658536585366,92.7246,126.7958,4.15156,130.94736
"Calcium",75,2,"mgX.kgSoil",338.44,365.09,364.8,1.47,1.46,1.69,"predicted",0.118343195266272,99.50136,106.60628,0.7296,107.33588
"Calcium",81,8,"mgX.kgSoil",240.23,347.99,324.01,1.48,1.42,1.66,"predicted",0.72289156626506,71.10808,98.82916,3.88812,102.71728
"Calcium",82,16,"mgX.kgSoil",251.5,468.26,302.29,1.48,1.42,1.66,"predicted",0.72289156626506,74.444,132.98584,3.62748,136.61332
"Calcium",83,1,"mgX.kgSoil",332.99,602.33,404.71,1.44,1.47,1.62,"measured",-0.408163265306122,95.90112,177.08502,-3.61398,173.47104
"Calcium",87,1,"mgX.kgSoil",357.52,398.6,340.97,1.47,1.41,1.67,"measured",0.718562874251497,105.11088,112.4052,4.09164,116.49684
"Calcium",89,16,"mgX.kgSoil",403.46,586.61,410.29,1.44,1.38,1.63,"predicted",0.736196319018405,116.19648,161.90436,4.92348,166.82784
"Calcium",92,1,"mgX.kgSoil",522.48,503.07,432.84,1.43,1.38,1.63,"predicted",0.613496932515337,149.42928,138.84732,4.3284,143.17572
"Calcium",93,4,"mgX.kgSoil",399.23,628.68,407.87,1.48,1.26,1.53,"measured",2.87581699346405,118.17208,158.42736,17.94628,176.37364
"Calcium",94,1,"mgX.kgSoil",372.75,412.22,286.62,1.44,1.36,1.66,"measured",0.963855421686747,107.352,112.12384,4.58592,116.70976
"Calcium",98,8,"mgX.kgSoil",383.84,483.23,335.52,1.43,1.37,1.66,"measured",0.72289156626506,109.77824,132.40502,4.02624,136.43126
"Calcium",104,8,"mgX.kgSoil",381.44,602.49,327.95,1.45,1.38,1.67,"measured",0.838323353293413,110.6176,166.28724,4.5913,170.87854
"Calcium",107,16,"mgX.kgSoil",299.93,406.97,305.36,1.5,1.44,1.68,"predicted",0.714285714285714,89.979,117.20736,3.66432,120.87168
