"Plot","Nutrient","Extract","Type","Year","val","Biomass","val.g"
2,"Nitrogen","ad","p.Abv",2017,0.0188,95.56,1.8
2,"Phosphorus","ad","p.Abv",2017,0.0024,95.56,0.23
2,"Potassium","ad","p.Abv",2017,0.0052,95.56,0.5
2,"Magnesium","ad","p.Abv",2017,0.0029,95.56,0.28
2,"Calcium","ad","p.Abv",2017,0.014,95.56,1.34
2,"Nitrogen","ad","p.Root0.30cm",2017,0.0156,312.96,4.88
2,"Phosphorus","ad","p.Root0.30cm",2017,0.0026,312.96,0.81
2,"Potassium","ad","p.Root0.30cm",2017,0.0033,312.96,1.03
2,"Magnesium","ad","p.Root0.30cm",2017,0.0021,312.96,0.66
2,"Calcium","ad","p.Root0.30cm",2017,0.0101,312.96,3.16
3,"Nitrogen","ad","p.Abv",2017,0.0089,94.39,0.84
3,"Phosphorus","ad","p.Abv",2017,0.001,94.39,0.09
3,"Potassium","ad","p.Abv",2017,0.011,94.39,1.04
3,"Magnesium","ad","p.Abv",2017,0.0045,94.39,0.42
3,"Calcium","ad","p.Abv",2017,0.0133,94.39,1.26
3,"Nitrogen","ad","p.Root0.30cm",2017,0.0064,304.16,1.95
3,"Phosphorus","ad","p.Root0.30cm",2017,0.0015,304.16,0.46
3,"Potassium","ad","p.Root0.30cm",2017,0.005,304.16,1.52
3,"Magnesium","ad","p.Root0.30cm",2017,0.0025,304.16,0.76
3,"Calcium","ad","p.Root0.30cm",2017,0.0087,304.16,2.65
5,"Nitrogen","ad","p.Abv",2017,0.0099,72.01,0.71
5,"Phosphorus","ad","p.Abv",2017,0.0024,72.01,0.17
5,"Potassium","ad","p.Abv",2017,0.008,72.01,0.58
5,"Magnesium","ad","p.Abv",2017,0.0021,72.01,0.15
5,"Calcium","ad","p.Abv",2017,0.0076,72.01,0.55
5,"Nitrogen","ad","p.Root0.30cm",2017,0.0048,995.27,4.78
5,"Phosphorus","ad","p.Root0.30cm",2017,0.0013,995.27,1.29
5,"Potassium","ad","p.Root0.30cm",2017,0.0017,995.27,1.69
5,"Magnesium","ad","p.Root0.30cm",2017,0.0014,995.27,1.39
5,"Calcium","ad","p.Root0.30cm",2017,0.0047,995.27,4.68
6,"Nitrogen","ad","p.Abv",2017,0.0087,58.74,0.51
6,"Phosphorus","ad","p.Abv",2017,0.0018,58.74,0.11
6,"Potassium","ad","p.Abv",2017,0.008,58.74,0.47
6,"Magnesium","ad","p.Abv",2017,0.0016,58.74,0.09
6,"Calcium","ad","p.Abv",2017,0.0066,58.74,0.39
6,"Nitrogen","ad","p.Root0.30cm",2017,0.0047,1022.1,4.8
6,"Phosphorus","ad","p.Root0.30cm",2017,0.001,1022.1,1.02
6,"Potassium","ad","p.Root0.30cm",2017,0.0016,1022.1,1.64
6,"Magnesium","ad","p.Root0.30cm",2017,0.0012,1022.1,1.23
6,"Calcium","ad","p.Root0.30cm",2017,0.0047,1022.1,4.8
9,"Nitrogen","ad","p.Abv",2017,0.0101,213.5,2.16
9,"Phosphorus","ad","p.Abv",2017,0.0018,213.5,0.38
9,"Potassium","ad","p.Abv",2017,0.0095,213.5,2.03
9,"Magnesium","ad","p.Abv",2017,0.0018,213.5,0.38
9,"Calcium","ad","p.Abv",2017,0.0097,213.5,2.07
9,"Nitrogen","ad","p.Root0.30cm",2017,0.0057,1318.25,7.51
9,"Phosphorus","ad","p.Root0.30cm",2017,0.001,1318.25,1.32
9,"Potassium","ad","p.Root0.30cm",2017,0.0026,1318.25,3.43
9,"Magnesium","ad","p.Root0.30cm",2017,0.0012,1318.25,1.58
9,"Calcium","ad","p.Root0.30cm",2017,0.0065,1318.25,8.57
11,"Nitrogen","ad","p.Abv",2017,0.0116,75.08,0.87
11,"Phosphorus","ad","p.Abv",2017,0.0025,75.08,0.19
11,"Potassium","ad","p.Abv",2017,0.0104,75.08,0.78
11,"Magnesium","ad","p.Abv",2017,0.0026,75.08,0.2
11,"Calcium","ad","p.Abv",2017,0.0071,75.08,0.53
11,"Nitrogen","ad","p.Root0.30cm",2017,0.0088,298.62,2.63
11,"Phosphorus","ad","p.Root0.30cm",2017,0.0023,298.62,0.69
11,"Potassium","ad","p.Root0.30cm",2017,0.0048,298.62,1.43
11,"Magnesium","ad","p.Root0.30cm",2017,0.0019,298.62,0.57
11,"Calcium","ad","p.Root0.30cm",2017,0.0073,298.62,2.18
12,"Nitrogen","ad","p.Abv",2017,0.0096,251.11,2.41
12,"Phosphorus","ad","p.Abv",2017,0.0017,251.11,0.43
12,"Potassium","ad","p.Abv",2017,0.0116,251.11,2.91
12,"Magnesium","ad","p.Abv",2017,0.0021,251.11,0.53
12,"Calcium","ad","p.Abv",2017,0.0086,251.11,2.16
12,"Nitrogen","ad","p.Root0.30cm",2017,8e-04,1343.39,1.07
12,"Phosphorus","ad","p.Root0.30cm",2017,0.0014,1343.39,1.88
12,"Potassium","ad","p.Root0.30cm",2017,0.0032,1343.39,4.3
12,"Magnesium","ad","p.Root0.30cm",2017,0.0018,1343.39,2.42
12,"Calcium","ad","p.Root0.30cm",2017,0.0096,1343.39,12.9
14,"Nitrogen","ad","p.Abv",2017,0.0102,98.1,1
14,"Phosphorus","ad","p.Abv",2017,0.0013,98.1,0.13
14,"Potassium","ad","p.Abv",2017,0.0106,98.1,1.04
14,"Magnesium","ad","p.Abv",2017,0.0045,98.1,0.44
14,"Calcium","ad","p.Abv",2017,0.0145,98.1,1.42
14,"Nitrogen","ad","p.Root0.30cm",2017,0.0097,147.78,1.43
14,"Phosphorus","ad","p.Root0.30cm",2017,0.0021,147.78,0.31
14,"Potassium","ad","p.Root0.30cm",2017,0.0048,147.78,0.71
14,"Magnesium","ad","p.Root0.30cm",2017,0.0028,147.78,0.41
14,"Calcium","ad","p.Root0.30cm",2017,0.0107,147.78,1.58
15,"Nitrogen","ad","p.Abv",2017,0.0084,306.76,2.58
15,"Phosphorus","ad","p.Abv",2017,0.0018,306.76,0.55
15,"Potassium","ad","p.Abv",2017,0.0155,306.76,4.75
15,"Magnesium","ad","p.Abv",2017,0.0033,306.76,1.01
15,"Calcium","ad","p.Abv",2017,0.0134,306.76,4.11
15,"Nitrogen","ad","p.Root0.30cm",2017,0.0091,842.01,7.66
15,"Phosphorus","ad","p.Root0.30cm",2017,0.0019,842.01,1.6
15,"Potassium","ad","p.Root0.30cm",2017,0.0059,842.01,4.97
15,"Magnesium","ad","p.Root0.30cm",2017,0.0019,842.01,1.6
15,"Calcium","ad","p.Root0.30cm",2017,0.0174,842.01,14.65
16,"Nitrogen","ad","p.Abv",2017,0.0152,41.58,0.63
16,"Phosphorus","ad","p.Abv",2017,0.0032,41.58,0.13
16,"Potassium","ad","p.Abv",2017,0.0094,41.58,0.39
16,"Magnesium","ad","p.Abv",2017,0.0037,41.58,0.15
16,"Calcium","ad","p.Abv",2017,0.0092,41.58,0.38
16,"Nitrogen","ad","p.Root0.30cm",2017,0.0106,226.49,2.4
16,"Phosphorus","ad","p.Root0.30cm",2017,0.0027,226.49,0.61
16,"Potassium","ad","p.Root0.30cm",2017,0.0066,226.49,1.49
16,"Magnesium","ad","p.Root0.30cm",2017,0.0018,226.49,0.41
16,"Calcium","ad","p.Root0.30cm",2017,0.0143,226.49,3.24
20,"Nitrogen","ad","p.Abv",2017,0.0196,294.41,5.77
20,"Phosphorus","ad","p.Abv",2017,0.0017,294.41,0.5
20,"Potassium","ad","p.Abv",2017,0.0028,294.41,0.82
20,"Magnesium","ad","p.Abv",2017,0.0021,294.41,0.62
20,"Calcium","ad","p.Abv",2017,0.016,294.41,4.71
20,"Nitrogen","ad","p.Root0.30cm",2017,0.0125,785,9.81
20,"Phosphorus","ad","p.Root0.30cm",2017,0.0026,785,2.04
20,"Potassium","ad","p.Root0.30cm",2017,0.0022,785,1.73
20,"Magnesium","ad","p.Root0.30cm",2017,0.0031,785,2.43
20,"Calcium","ad","p.Root0.30cm",2017,0.0095,785,7.46
22,"Nitrogen","ad","p.Abv",2017,0.0124,299.49,3.71
22,"Phosphorus","ad","p.Abv",2017,0.0015,299.49,0.45
22,"Potassium","ad","p.Abv",2017,0.0111,299.49,3.32
22,"Magnesium","ad","p.Abv",2017,0.003,299.49,0.9
22,"Calcium","ad","p.Abv",2017,0.0108,299.49,3.23
22,"Nitrogen","ad","p.Root0.30cm",2017,0.0106,412.38,4.37
22,"Phosphorus","ad","p.Root0.30cm",2017,0.0018,412.38,0.74
22,"Potassium","ad","p.Root0.30cm",2017,0.0042,412.38,1.73
22,"Magnesium","ad","p.Root0.30cm",2017,0.0022,412.38,0.91
22,"Calcium","ad","p.Root0.30cm",2017,0.0113,412.38,4.66
24,"Nitrogen","ad","p.Abv",2017,0.0096,83.42,0.8
24,"Phosphorus","ad","p.Abv",2017,0.002,83.42,0.17
24,"Potassium","ad","p.Abv",2017,0.0084,83.42,0.7
24,"Magnesium","ad","p.Abv",2017,0.0025,83.42,0.21
24,"Calcium","ad","p.Abv",2017,0.0082,83.42,0.68
24,"Nitrogen","ad","p.Root0.30cm",2017,0.0057,505.2,2.88
24,"Phosphorus","ad","p.Root0.30cm",2017,0.0011,505.2,0.56
24,"Potassium","ad","p.Root0.30cm",2017,0.0018,505.2,0.91
24,"Magnesium","ad","p.Root0.30cm",2017,0.0014,505.2,0.71
24,"Calcium","ad","p.Root0.30cm",2017,0.0054,505.2,2.73
26,"Nitrogen","ad","p.Abv",2017,0.0105,174.9,1.84
26,"Phosphorus","ad","p.Abv",2017,0.0019,174.9,0.33
26,"Potassium","ad","p.Abv",2017,0.0089,174.9,1.56
26,"Magnesium","ad","p.Abv",2017,0.0022,174.9,0.38
26,"Calcium","ad","p.Abv",2017,0.0084,174.9,1.47
26,"Nitrogen","ad","p.Root0.30cm",2017,0.0075,1008.41,7.56
26,"Phosphorus","ad","p.Root0.30cm",2017,0.0012,1008.41,1.21
26,"Potassium","ad","p.Root0.30cm",2017,0.0028,1008.41,2.82
26,"Magnesium","ad","p.Root0.30cm",2017,0.0016,1008.41,1.61
26,"Calcium","ad","p.Root0.30cm",2017,0.0096,1008.41,9.68
27,"Nitrogen","ad","p.Abv",2017,0.0099,248.98,2.46
27,"Phosphorus","ad","p.Abv",2017,0.0017,248.98,0.42
27,"Potassium","ad","p.Abv",2017,0.0118,248.98,2.94
27,"Magnesium","ad","p.Abv",2017,0.0025,248.98,0.62
27,"Calcium","ad","p.Abv",2017,0.0109,248.98,2.71
27,"Nitrogen","ad","p.Root0.30cm",2017,0.0084,1180.07,9.91
27,"Phosphorus","ad","p.Root0.30cm",2017,0.0015,1180.07,1.77
27,"Potassium","ad","p.Root0.30cm",2017,0.0037,1180.07,4.37
27,"Magnesium","ad","p.Root0.30cm",2017,0.0018,1180.07,2.12
27,"Calcium","ad","p.Root0.30cm",2017,0.0148,1180.07,17.47
28,"Nitrogen","ad","p.Abv",2017,0.0168,159.81,2.68
28,"Phosphorus","ad","p.Abv",2017,0.0022,159.81,0.35
28,"Potassium","ad","p.Abv",2017,0.0071,159.81,1.13
28,"Magnesium","ad","p.Abv",2017,0.0026,159.81,0.42
28,"Calcium","ad","p.Abv",2017,0.0116,159.81,1.85
28,"Nitrogen","ad","p.Root0.30cm",2017,0.0131,592.57,7.76
28,"Phosphorus","ad","p.Root0.30cm",2017,0.0018,592.57,1.07
28,"Potassium","ad","p.Root0.30cm",2017,0.0031,592.57,1.84
28,"Magnesium","ad","p.Root0.30cm",2017,0.0017,592.57,1.01
28,"Calcium","ad","p.Root0.30cm",2017,0.0099,592.57,5.87
29,"Nitrogen","ad","p.Abv",2017,0.0146,52.53,0.77
29,"Phosphorus","ad","p.Abv",2017,0.0027,52.53,0.14
29,"Potassium","ad","p.Abv",2017,0.0072,52.53,0.38
