"Plot","NumSp","nut","type","val.g","mono","diff"
2,1,"Nitrogen","Abv",1.8,1.2978125,38.6949193354202
2,1,"Potassium","Abv",0.5,0.8584375,-41.7546414270113
2,1,"Magnesium","Abv",0.28,0.3021875,-7.34229576008272
2,1,"Calcium","Abv",1.34,1.108125,20.9249858996052
2,1,"Nitrogen","Root.0.30cm",4.88,4.388125,11.2092294544937
2,1,"Potassium","Root.0.30cm",1.03,1.6984375,-39.3560257589696
2,1,"Magnesium","Root.0.30cm",0.66,0.9275,-28.8409703504043
2,1,"Calcium","Root.0.30cm",3.16,4.1471875,-23.8037826840479
3,4,"Nitrogen","Abv",0.84,1.2978125,-35.2757043101373
3,4,"Potassium","Abv",1.04,0.8584375,21.1503458318165
3,4,"Magnesium","Abv",0.42,0.3021875,38.9865563598759
3,4,"Calcium","Abv",1.26,1.108125,13.7055837563452
3,4,"Nitrogen","Root.0.30cm",1.95,4.388125,-55.5618857712576
3,4,"Potassium","Root.0.30cm",1.52,1.6984375,-10.5059797608096
3,4,"Magnesium","Root.0.30cm",0.76,0.9275,-18.0592991913747
3,4,"Calcium","Root.0.30cm",2.65,4.1471875,-36.1012734533946
5,1,"Nitrogen","Abv",0.71,1.2978125,-45.2925595954732
5,1,"Potassium","Abv",0.58,0.8584375,-32.4353840553331
5,1,"Magnesium","Abv",0.15,0.3021875,-50.3619441571872
5,1,"Calcium","Abv",0.55,1.108125,-50.3666102650874
5,1,"Nitrogen","Root.0.30cm",4.78,4.388125,8.93035180173766
5,1,"Potassium","Root.0.30cm",1.69,1.6984375,-0.496780128794854
5,1,"Magnesium","Root.0.30cm",1.39,0.9275,49.8652291105121
5,1,"Calcium","Root.0.30cm",4.68,4.1471875,12.847562354005
6,2,"Nitrogen","Abv",0.51,1.2978125,-60.7031061882976
6,2,"Potassium","Abv",0.47,0.8584375,-45.2493629413906
6,2,"Magnesium","Abv",0.09,0.3021875,-70.2171664943123
6,2,"Calcium","Abv",0.39,1.108125,-64.8054145516074
6,2,"Nitrogen","Root.0.30cm",4.8,4.388125,9.38612733228885
6,2,"Potassium","Root.0.30cm",1.64,1.6984375,-3.44066237350507
6,2,"Magnesium","Root.0.30cm",1.23,0.9275,32.6145552560647
6,2,"Calcium","Root.0.30cm",4.8,4.1471875,15.7410895938512
9,16,"Nitrogen","Abv",2.16,1.2978125,66.4339032025042
9,16,"Potassium","Abv",2.03,0.8584375,136.476155806334
9,16,"Magnesium","Abv",0.38,0.3021875,25.7497414684592
9,16,"Calcium","Abv",2.07,1.108125,86.8020304568528
9,16,"Nitrogen","Root.0.30cm",7.51,4.388125,71.1437117219769
9,16,"Potassium","Root.0.30cm",3.43,1.6984375,101.950321987121
9,16,"Magnesium","Root.0.30cm",1.58,0.9275,70.3504043126685
9,16,"Calcium","Root.0.30cm",8.57,4.1471875,106.646070379022
11,1,"Nitrogen","Abv",0.87,1.2978125,-32.9641223212136
11,1,"Potassium","Abv",0.78,0.8584375,-9.1372406261376
11,1,"Magnesium","Abv",0.2,0.3021875,-33.8159255429162
11,1,"Calcium","Abv",0.53,1.108125,-52.1714608009024
11,1,"Nitrogen","Root.0.30cm",2.63,4.388125,-40.0655177325167
