"Plot","func","NumSp","Species","nut","val"
11,"F",1,"Achmi","Calcium",1.26
69,"F",1,"Achmi","Calcium",1.19
202,"F",16,"Achmi","Calcium",1.29
220,"F",16,"Achmi","Calcium",1.09
239,"F",16,"Achmi","Calcium",1.12
257,"F",16,"Achmi","Calcium",1.12
273,"F",16,"Achmi","Calcium",1.42
20,"L",1,"Amoca","Calcium",1.5
27,"L",16,"Amoca","Calcium",1.51
107,"L",16,"Amoca","Calcium",1.1
137,"L",1,"Amoca","Calcium",1.27
220,"L",16,"Amoca","Calcium",1.26
227,"L",16,"Amoca","Calcium",1.1
257,"L",16,"Amoca","Calcium",1.45
5,"C4",1,"Andge","Calcium",0.71
27,"C4",16,"Andge","Calcium",0.58
107,"C4",16,"Andge","Calcium",0.66
108,"C4",16,"Andge","Calcium",0.62
109,"C4",1,"Andge","Calcium",0.58
220,"C4",16,"Andge","Calcium",0.55
227,"C4",16,"Andge","Calcium",0.68
16,"F",1,"Asctu","Calcium",1.57
27,"F",16,"Asctu","Calcium",2.35
34,"F",16,"Asctu","Calcium",1.35
82,"F",16,"Asctu","Calcium",1.2
239,"F",16,"Asctu","Calcium",2.16
273,"F",16,"Asctu","Calcium",1.73
27,"C3",16,"Koecr","Calcium",0.49
34,"C3",16,"Koecr","Calcium",0.29
107,"C3",16,"Koecr","Calcium",0.48
142,"C3",1,"Koecr","Calcium",0.51
160,"C3",16,"Koecr","Calcium",0.42
164,"C3",16,"Koecr","Calcium",0.45
268,"C3",1,"Koecr","Calcium",0.6
2,"L",1,"Lesca","Calcium",1.49
27,"L",16,"Lesca","Calcium",1.52
29,"L",1,"Lesca","Calcium",1.42
68,"L",16,"Lesca","Calcium",1.41
94,"L",1,"Lesca","Calcium",1.13
220,"L",16,"Lesca","Calcium",1.38
227,"L",16,"Lesca","Calcium",1.23
257,"L",16,"Lesca","Calcium",0.9
27,"F",16,"Liaas","Calcium",1.1
68,"F",16,"Liaas","Calcium",1.08
108,"F",16,"Liaas","Calcium",1.56
129,"F",1,"Liaas","Calcium",1.45
167,"F",1,"Liaas","Calcium",1.32
227,"F",16,"Liaas","Calcium",1.15
257,"F",16,"Liaas","Calcium",0.98
267,"F",1,"Liaas","Calcium",1.28
68,"L",16,"Luppe","Calcium",1.86
83,"L",1,"Luppe","Calcium",2.32
108,"L",16,"Luppe","Calcium",1.33
169,"L",16,"Luppe","Calcium",1.96
220,"L",16,"Luppe","Calcium",1.62
265,"L",1,"Luppe","Calcium",1.64
273,"L",16,"Luppe","Calcium",1.42
27,"F",16,"Monfi","Calcium",1.39
46,"F",16,"Monfi","Calcium",1.56
68,"F",16,"Monfi","Calcium",1.94
136,"F",16,"Monfi","Calcium",1.55
202,"F",16,"Monfi","Calcium",1.56
290,"F",1,"Monfi","Calcium",1.55
338,"F",1,"Monfi","Calcium",1.94
169,"C4",16,"Panvi","Calcium",0.26
186,"C4",16,"Panvi","Calcium",0.41
230,"C4",1,"Panvi","Calcium",0.66
253,"C4",16,"Panvi","Calcium",0.4
257,"C4",16,"Panvi","Calcium",0.44
299,"C4",16,"Panvi","Calcium",0.64
27,"L",16,"Petpu","Calcium",1.33
68,"L",16,"Petpu","Calcium",1.44
108,"L",16,"Petpu","Calcium",1.39
185,"L",1,"Petpu","Calcium",1.83
205,"L",1,"Petpu","Calcium",1.81
227,"L",16,"Petpu","Calcium",1.19
257,"L",16,"Petpu","Calcium",1.42
291,"L",1,"Petpu","Calcium",1.63
27,"C3",16,"Poapr","Calcium",0.49
68,"C3",16,"Poapr","Calcium",0.42
107,"C3",16,"Poapr","Calcium",0.35
220,"C3",16,"Poapr","Calcium",0.54
